block,lot,cartodb_id,plan_id,disposition_filterable,in_596,bbl
3516,62,448739,10412,"residential, commercial, public, semi-public, open space",false,3035160062
3518,63,448740,10412,"residential, commercial, public, semi-public, open space",true,3035180063
4068,16,448741,10402,"residential, community facility",false,3040680016
3521,6,448742,10412,"residential, commercial, public, semi-public, open space",false,3035210006
3584,37,448743,10412,"residential, commercial, public, semi-public, open space",false,3035840037
15961,63,452639,10442,open space,true,4159610063
3543,39,448744,10412,"residential, commercial, public, semi-public, open space",false,3035430039
2232,47,448745,10416,residential,false,3022320047
3516,58,448746,10412,"residential, commercial, public, semi-public, open space",false,3035160058
2231,51,448747,10416,residential,false,3022310051
3560,48,448748,10412,"residential, commercial, public, semi-public, open space",false,3035600048
4068,30,448749,10402,"residential, community facility",false,3040680030
3518,1,448750,10412,"residential, commercial, public, semi-public, open space",false,3035180001
4082,41,448751,10402,"residential, community facility",false,3040820041
